name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
IntelliJ-IDEA-Tutorial,20459,7375,1782,74,,,478.0,2015-08-17T15:25:52Z,GNU General Public License v2.0
redisson,20458,4939,889,529,Java,['Java'],7700.0,2014-01-11T14:06:25Z,Apache License 2.0
table,20457,2695,166,900,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Svelte']",2113.0,2016-10-20T17:25:08Z,MIT License
es6tutorial,20444,8918,896,598,JavaScript,"['JavaScript', 'CSS', 'HTML']",2094.0,2014-04-20T13:06:28Z,Other
Sentinel,20432,7422,787,945,Java,"['Java', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Shell', 'Starlark']",788.0,2018-04-04T06:37:33Z,Apache License 2.0
backstage,20418,3509,203,11618,TypeScript,"['TypeScript', 'JavaScript', 'Handlebars', 'CSS', 'Smarty', 'HTML', 'Dockerfile', 'Mustache', 'Shell', 'Makefile']",36342.0,2020-01-24T22:39:49Z,Apache License 2.0
mpvue,20410,2112,600,148,JavaScript,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Shell']",2328.0,2018-03-07T03:09:25Z,MIT License
awesome-datascience,20408,5316,1406,321,,,961.0,2014-07-05T07:07:43Z,MIT License
exa,20396,607,138,329,Rust,"['Rust', 'Shell']",1558.0,2014-05-22T12:45:16Z,MIT License
freqtrade,20365,4332,599,4484,Python,"['Python', 'Jinja', 'Shell', 'Jupyter Notebook', 'Dockerfile', 'HTML', 'PowerShell', 'Gnuplot']",19470.0,2017-05-17T23:48:53Z,GNU General Public License v3.0
wttr.in,20346,975,224,286,Python,"['Python', 'Go', 'Shell', 'SaltStack', 'HTML', 'Dockerfile', 'CSS']",1256.0,2015-12-26T21:03:43Z,Apache License 2.0
SummaryOfLoanSuspension,20344,2255,350,508,HTML,"['HTML', 'TypeScript', 'Python', 'PHP', 'JavaScript', 'CSS', 'C#', 'Less', 'Dockerfile', 'Shell']",1065.0,2022-07-12T16:33:25Z,
Aerial,20342,1034,381,259,Swift,"['Swift', 'Ruby', 'Makefile', 'Objective-C']",1326.0,2015-10-26T21:21:31Z,MIT License
dracula-theme,20339,2115,187,121,,,541.0,2013-10-27T12:39:02Z,MIT License
WeChatExtension-ForMac,20309,3450,295,72,Objective-C,['Objective-C'],1052.0,2019-04-25T03:02:16Z,MIT License
js-cookie,20295,2085,345,249,JavaScript,"['JavaScript', 'HTML']",830.0,2015-03-19T15:57:47Z,MIT License
